evaluation_id,condition,session_id,agent,strategy,task,task_order,file,task_local_introduced_findings,checkpoint_introduced_findings,file_share,is_top_file,top_file_share
session_20260817_160757/T1,Claude Structured,session_20260817_160757,claude,structured,T1,1,backend/src/core/seed/scenarios/edge-case.seed.ts,1,9,0.1111111111111111,False,0.6666666666666666
session_20260817_160757/T2,Claude Structured,session_20260817_160757,claude,structured,T2,2,backend/src/modules/deal/deal-contact-link.entity.ts,2,8,0.25,True,0.25
session_20260817_160757/T2,Claude Structured,session_20260817_160757,claude,structured,T2,2,backend/src/modules/deal/deal.service.ts,2,8,0.25,True,0.25
session_20260817_160757/T2,Claude Structured,session_20260817_160757,claude,structured,T2,2,backend/src/core/seed/scenarios/edge-case.seed.ts,1,8,0.125,False,0.25
session_20260817_160757/T2,Claude Structured,session_20260817_160757,claude,structured,T2,2,backend/src/modules/contact/contact-company-link.entity.ts,1,8,0.125,False,0.25
session_20260817_160757/T2,Claude Structured,session_20260817_160757,claude,structured,T2,2,frontend/src/pages/contacts/ContactTable.jsx,1,8,0.125,False,0.25
session_20260817_160757/T2,Claude Structured,session_20260817_160757,claude,structured,T2,2,frontend/src/pages/deals/DealForm.jsx,1,8,0.125,False,0.25
session_20260817_160757/T3,Claude Structured,session_20260817_160757,claude,structured,T3,3,backend/src/modules/deal/deal.service.ts,2,4,0.5,True,0.5
session_20260817_160757/T3,Claude Structured,session_20260817_160757,claude,structured,T3,3,backend/src/core/seed/scenarios/edge-case.seed.ts,1,4,0.25,False,0.5
session_20260817_160757/T3,Claude Structured,session_20260817_160757,claude,structured,T3,3,frontend/src/pages/deals/ContactLinkRow.jsx,1,4,0.25,False,0.5
session_20260817_210911/T1,Codex Minimal,session_20260817_210911,codex,minimal,T1,1,backend/src/modules/deal/deal.entity.ts,6,12,0.5,True,0.5
session_20260817_210911/T1,Codex Minimal,session_20260817_210911,codex,minimal,T1,1,frontend/src/pages/deals/dealQueries.js,2,12,0.16666666666666666,False,0.5
session_20260817_210911/T1,Codex Minimal,session_20260817_210911,codex,minimal,T1,1,backend/src/modules/deal/deal.service.ts,1,12,0.08333333333333333,False,0.5
session_20260817_210911/T1,Codex Minimal,session_20260817_210911,codex,minimal,T1,1,backend/src/modules/deal/dto/response.dto.ts,1,12,0.08333333333333333,False,0.5
session_20260817_210911/T1,Codex Minimal,session_20260817_210911,codex,minimal,T1,1,frontend/src/pages/deals/DealDetail.jsx,1,12,0.08333333333333333,False,0.5
session_20260817_210911/T1,Codex Minimal,session_20260817_210911,codex,minimal,T1,1,frontend/src/pages/deals/DealTable.jsx,1,12,0.08333333333333333,False,0.5
session_20260817_210911/T2,Codex Minimal,session_20260817_210911,codex,minimal,T2,2,backend/src/modules/contact/contact.service.ts,13,31,0.41935483870967744,True,0.41935483870967744
session_20260817_210911/T2,Codex Minimal,session_20260817_210911,codex,minimal,T2,2,backend/src/modules/deal/deal.service.ts,8,31,0.25806451612903225,False,0.41935483870967744
session_20260817_210911/T2,Codex Minimal,session_20260817_210911,codex,minimal,T2,2,backend/src/modules/contact/contact.entity.ts,4,31,0.12903225806451613,False,0.41935483870967744
session_20260817_210911/T2,Codex Minimal,session_20260817_210911,codex,minimal,T2,2,backend/src/modules/deal/deal-contact-link.entity.ts,2,31,0.06451612903225806,False,0.41935483870967744
session_20260817_210911/T2,Codex Minimal,session_20260817_210911,codex,minimal,T2,2,backend/src/modules/contact/contact-company-link.entity.ts,1,31,0.03225806451612903,False,0.41935483870967744
session_20260817_210911/T2,Codex Minimal,session_20260817_210911,codex,minimal,T2,2,frontend/src/pages/contacts/ContactDetail.jsx,1,31,0.03225806451612903,False,0.41935483870967744
session_20260817_210911/T2,Codex Minimal,session_20260817_210911,codex,minimal,T2,2,frontend/src/pages/contacts/ContactTable.jsx,1,31,0.03225806451612903,False,0.41935483870967744
session_20260817_210911/T2,Codex Minimal,session_20260817_210911,codex,minimal,T2,2,frontend/src/pages/deals/DealForm.jsx,1,31,0.03225806451612903,False,0.41935483870967744
session_20260817_210911/T3,Codex Minimal,session_20260817_210911,codex,minimal,T3,3,backend/src/modules/deal/deal.service.ts,12,15,0.8,True,0.8
session_20260817_210911/T3,Codex Minimal,session_20260817_210911,codex,minimal,T3,3,frontend/src/pages/deals/DealForm.jsx,1,15,0.06666666666666667,False,0.8
session_20260817_210911/T3,Codex Minimal,session_20260817_210911,codex,minimal,T3,3,frontend/src/pages/deals/DealTable.jsx,1,15,0.06666666666666667,False,0.8
session_20260817_210911/T3,Codex Minimal,session_20260817_210911,codex,minimal,T3,3,frontend/src/pages/deals/index.jsx,1,15,0.06666666666666667,False,0.8
session_20260817_221755/T1,Codex Structured,session_20260817_221755,codex,structured,T1,1,backend/src/modules/deal/deal.entity.ts,4,11,0.36363636363636365,True,0.36363636363636365
session_20260817_221755/T1,Codex Structured,session_20260817_221755,codex,structured,T1,1,backend/src/modules/deal/deal.service.ts,3,11,0.2727272727272727,False,0.36363636363636365
session_20260817_221755/T1,Codex Structured,session_20260817_221755,codex,structured,T1,1,frontend/src/pages/deals/dealQueries.js,2,11,0.18181818181818182,False,0.36363636363636365
session_20260817_221755/T1,Codex Structured,session_20260817_221755,codex,structured,T1,1,frontend/src/pages/deals/DealDetail.jsx,1,11,0.09090909090909091,False,0.36363636363636365
session_20260817_221755/T1,Codex Structured,session_20260817_221755,codex,structured,T1,1,frontend/src/pages/deals/DealTable.jsx,1,11,0.09090909090909091,False,0.36363636363636365
session_20260817_221755/T2,Codex Structured,session_20260817_221755,codex,structured,T2,2,backend/src/modules/deal/deal.service.ts,10,23,0.43478260869565216,True,0.43478260869565216
session_20260817_221755/T2,Codex Structured,session_20260817_221755,codex,structured,T2,2,backend/src/modules/contact/contact.entity.ts,5,23,0.21739130434782608,False,0.43478260869565216
session_20260817_221755/T2,Codex Structured,session_20260817_221755,codex,structured,T2,2,backend/src/modules/contact/contact.service.ts,3,23,0.13043478260869565,False,0.43478260869565216
session_20260817_221755/T2,Codex Structured,session_20260817_221755,codex,structured,T2,2,backend/src/modules/deal/deal-contact-link.entity.ts,2,23,0.08695652173913043,False,0.43478260869565216
session_20260817_221755/T2,Codex Structured,session_20260817_221755,codex,structured,T2,2,backend/src/modules/contact/contact-company-link.entity.ts,1,23,0.043478260869565216,False,0.43478260869565216
session_20260817_221755/T2,Codex Structured,session_20260817_221755,codex,structured,T2,2,frontend/src/pages/contacts/ContactDetail.jsx,1,23,0.043478260869565216,False,0.43478260869565216
session_20260817_221755/T2,Codex Structured,session_20260817_221755,codex,structured,T2,2,frontend/src/pages/contacts/ContactTable.jsx,1,23,0.043478260869565216,False,0.43478260869565216
session_20260817_221755/T3,Codex Structured,session_20260817_221755,codex,structured,T3,3,backend/src/modules/deal/deal.service.ts,10,13,0.7692307692307693,True,0.7692307692307693
session_20260817_221755/T3,Codex Structured,session_20260817_221755,codex,structured,T3,3,backend/src/core/database/migrations/20260817000300-ConstrainDealStages.ts,2,13,0.15384615384615385,False,0.7692307692307693
session_20260817_221755/T3,Codex Structured,session_20260817_221755,codex,structured,T3,3,frontend/src/pages/deals/DealTable.jsx,1,13,0.07692307692307693,False,0.7692307692307693
